country,alpha_2_code,alpha_3_code,numeric_code,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP)
Algeria,DZ,DZA,12,1998,29924668,3012.80544365147,46187780578.2663,4.95016163793114,69.451,3.96567378793071
Algeria,DZ,DZA,12,1999,30346083,3066.03770033307,46350667435.2364,2.64551113392799,70.032,3.75507998270644
Algeria,DZ,DZA,12,2000,30774621,3138.23001912134,52080377793.2312,0.339163189071768,70.478,3.43338563505363
Algeria,DZ,DZA,12,2001,31200985,3188.20622592292,53138715069.4423,4.22598834854673,70.823,3.82069546333074
Algeria,DZ,DZA,12,2002,31624696,3321.63776080143,54533965681.0392,1.41830192345051,71.23,3.70082935899902
Algeria,DZ,DZA,12,2003,32055883,3512.89904839883,65345095078.8472,4.268953958395,71.287,3.25121089347184
Algeria,DZ,DZA,12,2004,32510186,3612.75298037776,81732028320.6079,3.96180030257187,71.762,3.2838845233139
Algeria,DZ,DZA,12,2005,32956690,3774.07125446926,98106130019.5419,1.38244656662118,72.061,2.83417835011465
Algeria,DZ,DZA,12,2006,33435080,3783.31296401603,112502155468.575,2.31149918514424,72.334,2.6438075477202
Algeria,DZ,DZA,12,2007,33983827,3848.77825112227,133142047324.093,3.67899574741699,72.602,2.92332102697669
Algeria,DZ,DZA,12,2008,34569592,3874.36806857968,169665530141.152,4.85859062814939,72.941,3.02474714090386
Algeria,DZ,DZA,12,2009,35196037,3866.29575828418,135805723140.852,5.73706036145628,73.62,3.84851369829344
Algeria,DZ,DZA,12,2010,35856344,3931.72005910031,160761658550.644,3.91106195534028,73.808,3.51801260882618
Algeria,DZ,DZA,12,2011,36543541,3969.66027593824,197969510576.555,4.5242115050527,74.123,4.32570635861069
Algeria,DZ,DZA,12,2012,37260563,4025.64148367191,206411548333.433,8.89145091062317,74.202,4.46107862007699
Algeria,DZ,DZA,12,2013,38000626,4057.76480695524,205600314482.842,3.25423910998847,74.615,4.84450891704059
Algeria,DZ,DZA,12,2014,38760168,4129.42254868204,208874352488.068,2.91692692067458,75.11,5.54848333584853
Algeria,DZ,DZA,12,2015,39543154,4197.41998491398,161667199631.571,4.78444700693889,75.622,6.27024285623508
Algeria,DZ,DZA,12,2016,40339329,4246.24217385308,158474049342.934,6.39769480268757,75.732,6.38492898301865
Algeria,DZ,DZA,12,2017,41136546,4218.0823188856,167558948136.014,5.59111590961664,75.743,5.92438332688534
Algeria,DZ,DZA,12,2018,41927007,4188.22038483483,170507079828.058,4.26999020467084,76.066,5.48358870056161
Algeria,DZ,DZA,12,2019,42705368,4153.00345481624,167561019002.048,1.95176821052892,76.474,5.99969025937654
Algeria,DZ,DZA,12,2020,43451666,3873.50874565769,142799461731.168,2.41513094083414,74.453,6.69246839735744
Algeria,DZ,DZA,12,2021,44177969,3939.36086434716,160572247757.366,7.22606307415477,76.377,5.58544666775166
Algeria,DZ,DZA,12,2022,44903225,3999.75769667754,190943155625.754,9.26551551551553,,4.77943828648395
American Samoa,AS,ASM,16,1960,20085,,,,,
American Samoa,AS,ASM,16,1961,20626,,,,,
American Samoa,AS,ASM,16,1962,21272,,,,,
American Samoa,AS,ASM,16,1963,21949,,,,,
American Samoa,AS,ASM,16,1964,22656,,,,,
American Samoa,AS,ASM,16,1965,23391,,,,,
American Samoa,AS,ASM,16,1966,24122,,,,,
American Samoa,AS,ASM,16,1967,24848,,,,,
American Samoa,AS,ASM,16,1968,25608,,,,,
American Samoa,AS,ASM,16,1969,26396,,,,,
American Samoa,AS,ASM,16,1970,27075,,,,,
American Samoa,AS,ASM,16,1971,27593,,,,,
American Samoa,AS,ASM,16,1972,28063,,,,,
American Samoa,AS,ASM,16,1973,28529,,75600000,,,
American Samoa,AS,ASM,16,1974,29012,,77000000,,,
American Samoa,AS,ASM,16,1975,29573,,67700000,,,
American Samoa,AS,ASM,16,1976,30198,,68500000,,,
American Samoa,AS,ASM,16,1977,30816,,79200000,,,
American Samoa,AS,ASM,16,1978,31428,,84700000,,,
American Samoa,AS,ASM,16,1979,32045,,105600000,,,
American Samoa,AS,ASM,16,1980,32886,,127200000,,,
American Samoa,AS,ASM,16,1981,34059,,139300000,,,
American Samoa,AS,ASM,16,1982,35367,,151100000,,,
American Samoa,AS,ASM,16,1983,36735,,166000000,,,
American Samoa,AS,ASM,16,1984,38168,,178200000,,,
American Samoa,AS,ASM,16,1985,39663,,189700000,,,
American Samoa,AS,ASM,16,1986,41221,,,,,
American Samoa,AS,ASM,16,1987,42842,,,,,
American Samoa,AS,ASM,16,1988,44532,,,,,
American Samoa,AS,ASM,16,1989,46288,,,,,
American Samoa,AS,ASM,16,1990,47818,,,,,
American Samoa,AS,ASM,16,1991,48992,,,,,
American Samoa,AS,ASM,16,1992,50078,,,,,
American Samoa,AS,ASM,16,1993,51174,,,,,
American Samoa,AS,ASM,16,1994,52288,,,,,
American Samoa,AS,ASM,16,1995,53401,,,,,
American Samoa,AS,ASM,16,1996,54500,,,,,
American Samoa,AS,ASM,16,1997,55578,,,,,
American Samoa,AS,ASM,16,1998,56603,,,,,
American Samoa,AS,ASM,16,1999,57594,,,,,
American Samoa,AS,ASM,16,2000,58230,,,,,
American Samoa,AS,ASM,16,2001,58324,,,,,
American Samoa,AS,ASM,16,2002,58177,12804.4358444426,,,,
American Samoa,AS,ASM,16,2003,57941,12980.7222956862,,,,
American Samoa,AS,ASM,16,2004,57626,13105.1690778892,,,,
American Samoa,AS,ASM,16,2005,57254,13136.4800805944,,,,
American Samoa,AS,ASM,16,2006,56837,12690.5291104991,,,,
American Samoa,AS,ASM,16,2007,56383,13029.6162843735,,,,
American Samoa,AS,ASM,16,2008,55891,12795.0245577508,,,,
American Samoa,AS,ASM,16,2009,55366,12378.1701945665,,,,
American Samoa,AS,ASM,16,2010,54849,12532.3111237111,,,,
American Samoa,AS,ASM,16,2011,54310,12656.6881389142,,,,
American Samoa,AS,ASM,16,2012,53691,12247.6352882148,,,,
American Samoa,AS,ASM,16,2013,52995,12098.2751505435,,,,
American Samoa,AS,ASM,16,2014,52217,12494.9802110307,,,,
American Samoa,AS,ASM,16,2015,51368,13101.5418159165,,,,
American Samoa,AS,ASM,16,2016,50448,13116.4309769201,,,,
American Samoa,AS,ASM,16,2017,49463,12442.8576653719,,,,
American Samoa,AS,ASM,16,2018,48424,13049.3301536176,,,,
American Samoa,AS,ASM,16,2019,47321,13288.3565565116,,,,
American Samoa,AS,ASM,16,2020,46189,14214.6464600557,,,,
American Samoa,AS,ASM,16,2021,45035,14464.8140504798,,,,
American Samoa,AS,ASM,16,2022,44273,14969.0599426218,,,,
Andorra,AD,AND,20,1960,9443,,,,,
Andorra,AD,AND,20,1961,10216,,,,,
Andorra,AD,AND,20,1962,11014,,,,,
Andorra,AD,AND,20,1963,11839,,,,,
Andorra,AD,AND,20,1964,12690,,,,,
Andorra,AD,AND,20,1965,13563,,,,,
Andorra,AD,AND,20,1966,14546,,,,,
Andorra,AD,AND,20,1967,15745,,,,,
Andorra,AD,AND,20,1968,17079,,,,,
Andorra,AD,AND,20,1969,18449,,,,,
Andorra,AD,AND,20,1970,19860,43258.9186512359,,,,
Andorra,AD,AND,20,1971,21322,42166.1527998325,,,,
Andorra,AD,AND,20,1972,22832,42586.6477158005,,,,
Andorra,AD,AND,20,1973,24393,42965.9571768044,,,,
Andorra,AD,AND,20,1974,26003,42570.3712607251,,,,
Andorra,AD,AND,20,1975,27640,40266.2572129463,,,,
Andorra,AD,AND,20,1976,29294,39247.9400620474,,,,
Andorra,AD,AND,20,1977,30949,38203.6604447882,,,,
Andorra,AD,AND,20,1978,32574,36828.8540076601,,,,
Andorra,AD,AND,20,1979,34142,35152.0601247104,,,,
Andorra,AD,AND,20,1980,35611,34446.3771932635,,,,
Andorra,AD,AND,20,1981,36987,33120.9590728872,,,,
Andorra,AD,AND,20,1982,38598,32134.1681346522,,,,
Andorra,AD,AND,20,1983,40432,31219.5700921465,,,,
Andorra,AD,AND,20,1984,42181,30459.1455049139,,,,
Andorra,AD,AND,20,1985,43809,30008.0559598103,,,,
Andorra,AD,AND,20,1986,45605,29764.1012474746,,,,
Andorra,AD,AND,20,1987,47635,30076.3728549942,,,,
Andorra,AD,AND,20,1988,49654,30323.3137754862,,,,
Andorra,AD,AND,20,1989,51639,30565.1390093744,,,,
Andorra,AD,AND,20,1990,53569,30578.0743671099,,,,
Andorra,AD,AND,20,1991,55434,30301.6441551164,,,,
Andorra,AD,AND,20,1992,57283,29596.0360749833,,,,
Andorra,AD,AND,20,1993,59156,28363.3522654707,,,,
Andorra,AD,AND,20,1994,61037,28144.3876184935,,,,
Andorra,AD,AND,20,1995,62928,28051.4032005126,,,,
Andorra,AD,AND,20,1996,64147,28797.8667293952,,,,
Andorra,AD,AND,20,1997,64682,31149.3702860207,,,,
Andorra,AD,AND,20,1998,65186,31895.9957680708,,,,
Andorra,AD,AND,20,1999,65655,32966.2523329394,,,,
Andorra,AD,AND,20,2000,66097,33901.192899197,,,,
Andorra,AD,AND,20,2001,67820,35722.5456714568,,,,
Andorra,AD,AND,20,2002,70849,35749.9457061609,,,,
Andorra,AD,AND,20,2003,73907,37250.3126885329,,,,
Andorra,AD,AND,20,2004,76933,38696.5127853516,,,,
Andorra,AD,AND,20,2005,79826,39307.1593204183,,,,
Andorra,AD,AND,20,2006,80221,40994.4668667136,,,,
Andorra,AD,AND,20,2007,78168,42724.58727008,,,,
Andorra,AD,AND,20,2008,76055,41470.457414301,,,,
Andorra,AD,AND,20,2009,73852,40442.8041055161,,,,
Andorra,AD,AND,20,2010,71519,40937.2932979424,,,,
Andorra,AD,AND,20,2011,70567,41486.2189634929,,,,
Andorra,AD,AND,20,2012,71013,39174.9156898451,,,,
Andorra,AD,AND,20,2013,71367,37597.7229935195,,,,
Andorra,AD,AND,20,2014,71621,38402.667301525304,,,,
Andorra,AD,AND,20,2015,71746,38885.5485894753,,,,
Andorra,AD,AND,20,2016,72540,39886.6588218818,,,,
Andorra,AD,AND,20,2017,73837,39321.632781089,,,,
Andorra,AD,AND,20,2018,75013,39320.1109176824,,,,
Andorra,AD,AND,20,2019,76343,39413.8093931238,3462356539.30028,,,
Andorra,AD,AND,20,2020,77700,34394.4301971186,3268589821.20054,,,
Andorra,AD,AND,20,2021,79034,36616.117961953,3577090457.86673,,,
Andorra,AD,AND,20,2022,79824,39447.5382468325,,,,
Angola,AO,AGO,24,1960,5357195,,,,38.211,
Angola,AO,AGO,24,1961,5441333,,,,37.267,
Angola,AO,AGO,24,1962,5521400,,,,37.539,
Angola,AO,AGO,24,1963,5599827,,,,37.824,
Angola,AO,AGO,24,1964,5673199,,,,38.131,
Angola,AO,AGO,24,1965,5736582,,,,38.495,
Angola,AO,AGO,24,1966,5787044,,,,38.757,
Angola,AO,AGO,24,1967,5827503,,,,39.092,
Angola,AO,AGO,24,1968,5868203,,,,39.484,
Angola,AO,AGO,24,1969,5928386,,,,39.829,
Angola,AO,AGO,24,1970,6029700,,,,40.19,
Angola,AO,AGO,24,1971,6177049,,,,40.554,
Angola,AO,AGO,24,1972,6364731,,,,40.905,
Angola,AO,AGO,24,1973,6578230,,,,41.27,
Angola,AO,AGO,24,1974,6802494,,,,41.652,
Angola,AO,AGO,24,1975,7032713,,,,41.191,
Angola,AO,AGO,24,1976,7266780,,,,41.163,
Angola,AO,AGO,24,1977,7511895,,,,41.437,
Angola,AO,AGO,24,1978,7771590,,,,41.83,
Angola,AO,AGO,24,1979,8043218,,,,42.175,
Angola,AO,AGO,24,1980,8330047,2768.6833105029,,,42.449,
Angola,AO,AGO,24,1981,8631457,2554.43296432359,,,42.772,
Angola,AO,AGO,24,1982,8947152,2464.30129844018,,,43.051,
Angola,AO,AGO,24,1983,9276707,2476.58082702536,,,42.092,
Angola,AO,AGO,24,1984,9617702,2532.10029518475,,,42.353,
Angola,AO,AGO,24,1985,9970621,2527.96094261146,6688963210.70234,,42.648,1.715e-5
Angola,AO,AGO,24,1986,10332574,2510.14856261012,6688963210.70234,,42.843,1.73e-5
Angola,AO,AGO,24,1987,10694057,2524.31883763848,6688963210.70234,,40.917,22.25
Angola,AO,AGO,24,1988,11060261,2590.32913984092,6688963210.70234,,41.545,21.9805
Angola,AO,AGO,24,1989,11439498,2505.49812529435,10033444816.0535,,41.765,19.4323333333333
Angola,AO,AGO,24,1990,11828638,2339.47356417521,10033444816.0535,,41.893,17.4636666666667
Angola,AO,AGO,24,1991,12228691,2285.37319639239,10401188707.2808,83.7837837837837,43.813,7.1025
